campaign,workflow,task_id,status,framework,temperature,pressure,component_index,component,mole_fraction,absolute_molecules_per_unit_cell,absolute_mol_per_kg,absolute_mg_per_g,absolute_cm3_stp_per_g,absolute_cm3_stp_per_cm3,excess_molecules_per_unit_cell,excess_mol_per_kg,excess_mg_per_g,excess_cm3_stp_per_g,excess_cm3_stp_per_cm3,qst_kj_mol,warning_count,source_file
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00000__INT1-sxrd__N2__T77__P9731.34,success,INT1-sxrd,77,9731.345,0,N2,1.0,62.6161883333,14.4763381375,405.5326088871,324.4722919271,266.8154510419,62.5787703074,14.4676874034,405.29027172,324.2783945825,266.6560081288,,0,tasks/00000__INT1-sxrd__N2__T77__P9731.34/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_9731.34.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00001__INT1-sxrd__N2__T77__P19462.7,success,INT1-sxrd,77,19462.69,0,N2,1.0,63.2324433333,14.6188111304,409.5237732256,327.6656781357,269.4413910769,63.1573142241,14.6014419098,409.037200911,327.2763648459,269.1212564965,,0,tasks/00001__INT1-sxrd__N2__T77__P19462.7/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_19462.7.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00002__INT1-sxrd__N2__T77__P29194,success,INT1-sxrd,77,29194.035,0,N2,1.0,63.5331983333,14.6883431667,411.4716075323,329.2241675098,270.722945945,63.4200588553,14.6621862672,410.7388617534,328.6378874004,270.2408444044,,0,tasks/00002__INT1-sxrd__N2__T77__P29194/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_29194.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00003__INT1-sxrd__N2__T77__P38925.4,success,INT1-sxrd,77,38925.38,0,N2,1.0,63.3488316667,14.645719138,410.2775601571,328.2687935644,269.9373363984,63.1973760832,14.610703876,409.2966608154,327.4839623312,269.291965115,,0,tasks/00003__INT1-sxrd__N2__T77__P38925.4/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_38925.4.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00004__INT1-sxrd__N2__T77__P48656.7,success,INT1-sxrd,77,48656.725,0,N2,1.0,63.68744,14.7240025477,412.470550891,330.0234360125,271.380189079,63.4973558884,14.6800566937,411.2394745873,329.0384347054,270.5702167808,,0,tasks/00004__INT1-sxrd__N2__T77__P48656.7/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_48656.7.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00005__INT1-sxrd__N2__T77__P58388.1,success,INT1-sxrd,77,58388.07,0,N2,1.0,63.8927966667,14.7714792886,413.8005396207,331.0875785301,272.2552396546,63.6637646719,14.7185290102,412.3172180575,329.9007522755,271.2793055293,,0,tasks/00005__INT1-sxrd__N2__T77__P58388.1/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_58388.1.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00006__INT1-sxrd__N2__T77__P68119.4,success,INT1-sxrd,77,68119.415,0,N2,1.0,63.6344083333,14.7117420707,412.1270922629,329.7486299777,271.1542144798,63.3661019082,14.6497118731,410.3894105631,328.3582866331,270.0109270688,,0,tasks/00006__INT1-sxrd__N2__T77__P68119.4/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_68119.4.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00007__INT1-sxrd__N2__T77__P77850.8,success,INT1-sxrd,77,77850.76,0,N2,1.0,64.01278,14.79921843,414.5776095045,331.7093229734,272.7665037231,63.7048651317,14.7280310922,412.5834044408,330.1137317104,271.4544397561,,0,tasks/00007__INT1-sxrd__N2__T77__P77850.8/Output/System_0/output_INT1-sxrd_2.3.1_77.000000_77850.8.data
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00008__INT1-sxrd__N2__T77__P87582.1,running,INT1-sxrd,77,87582.105,0,N2,1.0,,,,,,,,,,,,,
int1_n2_77k_psat_pacmof_prod_100k_labelnorm,single,00009__INT1-sxrd__N2__T77__P97313.4,running,INT1-sxrd,77,97313.45,0,N2,1.0,,,,,,,,,,,,,
